Month,Value
2014-01,0.0
2014-02,0.0
2014-03,0.0
2014-04,0.0
2014-05,0.0
2014-06,0.0
2014-07,0.0
2014-08,0.0
2014-09,0.0
2014-10,0.0
2014-11,68.0
2014-12,0.0
2015-01,0.0
2015-02,0.0
2015-03,0.0
2015-04,0.0
2015-05,0.0
2015-06,0.0
2015-07,0.0
2015-08,0.0
2015-09,0.0
2015-10,0.0
2015-11,0.0
2015-12,0.0
2016-01,0.0
2016-02,0.0
2016-03,49.0
2016-04,0.0
2016-05,45.0
2016-06,0.0
2016-07,0.0
2016-08,0.0
2016-09,0.0
2016-10,0.0
2016-11,0.0
2016-12,44.0
2017-01,44.0
2017-02,0.0
2017-03,0.0
2017-04,0.0
2017-05,59.0
2017-06,46.0
2017-07,44.0
2017-08,69.0
2017-09,0.0
2017-10,55.0
2017-11,45.0
2017-12,0.0
2018-01,45.0
2018-02,71.0
2018-03,62.0
2018-04,45.0
2018-05,63.0
2018-06,44.0
2018-07,51.0
2018-08,46.0
2018-09,50.0
2018-10,42.0
2018-11,60.0
2018-12,0.0
2019-01,0.0
2019-02,0.0
2019-03,41.0
2019-04,45.0
2019-05,58.0
2019-06,42.0
2019-07,46.0
2019-08,45.0
2019-09,65.0
2019-10,56.0
2019-11,36.0
2019-12,0.0
2020-01,0.0
2020-02,53.0
2020-03,28.0
2020-04,32.0
2020-05,43.0
2020-06,29.0
2020-07,43.0
2020-08,39.0
2020-09,54.0
2020-10,56.0
2020-11,44.0
2020-12,47.0
2021-01,47.0
2021-02,36.0
2021-03,37.0
2021-04,41.0
2021-05,41.0
2021-06,38.0
2021-07,48.0
2021-08,52.0
2021-09,40.0
2021-10,73.0
2021-11,54.0
2021-12,45.0
2022-01,41.0
2022-02,62.0
2022-03,55.0
2022-04,67.0
2022-05,71.0
2022-06,71.0
2022-07,51.0
2022-08,64.0
2022-09,66.0
2022-10,68.0
2022-11,39.0
2022-12,54.0
2023-01,44.0
2023-02,57.0
2023-03,79.0
2023-04,71.0
2023-05,83.0
2023-06,66.0
2023-07,71.0
2023-08,63.0
2023-09,100.0
2023-10,82.0
2023-11,56.0
2023-12,72.0
2024-01,64.0
2024-02,67.0
2024-03,56.0
2024-04,58.0
2024-05,73.0
2024-06,50.0
2024-07,57.0
2024-08,77.0
2024-09,61.0
2024-10,59.0
2024-11,50.0
2024-12,0.0
2025-01,0.0
2025-02,42.0
2025-03,50.0
2025-04,0.0
2025-05,0.0
2025-06,72.0
2025-07,43.0
2025-08,0.0
2025-09,58.0
2025-10,39.0
2025-11,60.0
2025-12,0.0
2026-01,60.0
2026-02,0.0
2026-03,0.0
2026-04,0.0
2026-05,48.0
2026-06,0.0
2026-07,50.0
