Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,0.0
2007-06,0.0
2007-07,0.0
2007-08,0.0
2007-09,0.0
2007-10,0.0
2007-11,0.0
2007-12,0.0
2008-01,0.0
2008-02,0.0
2008-03,0.0
2008-04,0.0
2008-05,0.0
2008-06,0.0
2008-07,0.0
2008-08,0.0
2008-09,0.0
2008-10,0.0
2008-11,0.0
2008-12,0.0
2009-01,0.0
2009-02,0.0
2009-03,0.0
2009-04,0.0
2009-05,0.0
2009-06,0.0
2009-07,0.0
2009-08,0.0
2009-09,0.0
2009-10,4.0
2009-11,9.0
2009-12,9.0
2010-01,4.0
2010-02,6.0
2010-03,2.0
2010-04,0.0
2010-05,0.0
2010-06,0.0
2010-07,0.0
2010-08,4.0
2010-09,3.0
2010-10,0.0
2010-11,0.0
2010-12,0.0
2011-01,1.0
2011-02,0.0
2011-03,1.0
2011-04,0.0
2011-05,3.0
2011-06,2.0
2011-07,2.0
2011-08,1.0
2011-09,1.0
2011-10,1.0
2011-11,1.0
2011-12,1.0
2012-01,1.0
2012-02,1.0
2012-03,1.0
2012-04,1.0
2012-05,1.0
2012-06,1.0
2012-07,1.0
2012-08,1.0
2012-09,1.0
2012-10,1.0
2012-11,1.0
2012-12,1.0
2013-01,1.0
2013-02,1.0
2013-03,1.0
2013-04,1.0
2013-05,1.0
2013-06,2.0
2013-07,1.0
2013-08,1.0
2013-09,1.0
2013-10,1.0
2013-11,1.0
2013-12,1.0
2014-01,1.0
2014-02,1.0
2014-03,1.0
2014-04,1.0
2014-05,1.0
2014-06,1.0
2014-07,2.0
2014-08,2.0
2014-09,2.0
2014-10,2.0
2014-11,2.0
2014-12,2.0
2015-01,1.0
2015-02,2.0
2015-03,2.0
2015-04,1.0
2015-05,2.0
2015-06,2.0
2015-07,2.0
2015-08,2.0
2015-09,1.0
2015-10,2.0
2015-11,2.0
2015-12,1.0
2016-01,1.0
2016-02,2.0
2016-03,1.0
2016-04,1.0
2016-05,2.0
2016-06,2.0
2016-07,2.0
2016-08,2.0
2016-09,2.0
2016-10,1.0
2016-11,2.0
2016-12,1.0
2017-01,2.0
2017-02,3.0
2017-03,3.0
2017-04,2.0
2017-05,38.0
2017-06,51.0
2017-07,13.0
2017-08,12.0
2017-09,17.0
2017-10,6.0
2017-11,6.0
2017-12,4.0
2018-01,5.0
2018-02,12.0
2018-03,4.0
2018-04,7.0
2018-05,6.0
2018-06,5.0
2018-07,8.0
2018-08,6.0
2018-09,5.0
2018-10,4.0
2018-11,4.0
2018-12,3.0
2019-01,4.0
2019-02,6.0
2019-03,5.0
2019-04,4.0
2019-05,13.0
2019-06,8.0
2019-07,9.0
2019-08,10.0
2019-09,9.0
2019-10,13.0
2019-11,9.0
2019-12,10.0
2020-01,10.0
2020-02,27.0
2020-03,15.0
2020-04,11.0
2020-05,9.0
2020-06,20.0
2020-07,15.0
2020-08,28.0
2020-09,28.0
2020-10,42.0
2020-11,91.0
2020-12,20.0
2021-01,20.0
2021-02,62.0
2021-03,37.0
2021-04,20.0
2021-05,19.0
2021-06,20.0
2021-07,17.0
2021-08,10.0
2021-09,15.0
2021-10,11.0
2021-11,12.0
2021-12,11.0
2022-01,14.0
2022-02,13.0
2022-03,12.0
2022-04,11.0
2022-05,15.0
2022-06,11.0
2022-07,13.0
2022-08,11.0
2022-09,46.0
2022-10,51.0
2022-11,100.0
2022-12,53.0
2023-01,27.0
2023-02,18.0
2023-03,15.0
2023-04,13.0
2023-05,29.0
2023-06,28.0
2023-07,31.0
2023-08,31.0
2023-09,23.0
2023-10,20.0
2023-11,22.0
2023-12,40.0
2024-01,23.0
2024-02,25.0
2024-03,20.0
2024-04,19.0
2024-05,21.0
2024-06,24.0
2024-07,23.0
2024-08,28.0
2024-09,23.0
2024-10,17.0
2024-11,18.0
2024-12,32.0
2025-01,19.0
2025-02,18.0
2025-03,19.0
2025-04,15.0
2025-05,16.0
2025-06,16.0
2025-07,21.0
2025-08,18.0
2025-09,17.0
2025-10,17.0
2025-11,28.0
2025-12,20.0
2026-01,22.0
2026-02,19.0
2026-03,19.0
2026-04,17.0
2026-05,19.0
2026-06,21.0
2026-07,18.0
