Month,Value
2014-01,0.0
2014-02,10.0
2014-03,14.0
2014-04,0.0
2014-05,11.0
2014-06,12.0
2014-07,13.0
2014-08,13.0
2014-09,12.0
2014-10,0.0
2014-11,11.0
2014-12,13.0
2015-01,0.0
2015-02,0.0
2015-03,11.0
2015-04,0.0
2015-05,14.0
2015-06,18.0
2015-07,25.0
2015-08,0.0
2015-09,26.0
2015-10,19.0
2015-11,12.0
2015-12,19.0
2016-01,10.0
2016-02,12.0
2016-03,12.0
2016-04,7.0
2016-05,11.0
2016-06,13.0
2016-07,32.0
2016-08,25.0
2016-09,17.0
2016-10,13.0
2016-11,20.0
2016-12,16.0
2017-01,21.0
2017-02,19.0
2017-03,18.0
2017-04,20.0
2017-05,25.0
2017-06,28.0
2017-07,20.0
2017-08,18.0
2017-09,13.0
2017-10,16.0
2017-11,18.0
2017-12,14.0
2018-01,20.0
2018-02,23.0
2018-03,15.0
2018-04,16.0
2018-05,14.0
2018-06,23.0
2018-07,28.0
2018-08,17.0
2018-09,24.0
2018-10,14.0
2018-11,14.0
2018-12,17.0
2019-01,13.0
2019-02,23.0
2019-03,38.0
2019-04,17.0
2019-05,22.0
2019-06,36.0
2019-07,50.0
2019-08,20.0
2019-09,24.0
2019-10,17.0
2019-11,17.0
2019-12,20.0
2020-01,40.0
2020-02,29.0
2020-03,64.0
2020-04,100.0
2020-05,28.0
2020-06,28.0
2020-07,27.0
2020-08,18.0
2020-09,20.0
2020-10,20.0
2020-11,30.0
2020-12,24.0
2021-01,30.0
2021-02,32.0
2021-03,21.0
2021-04,22.0
2021-05,32.0
2021-06,28.0
2021-07,48.0
2021-08,32.0
2021-09,25.0
2021-10,23.0
2021-11,20.0
2021-12,22.0
2022-01,23.0
2022-02,24.0
2022-03,17.0
2022-04,16.0
2022-05,19.0
2022-06,25.0
2022-07,23.0
2022-08,17.0
2022-09,22.0
2022-10,23.0
2022-11,25.0
2022-12,20.0
2023-01,22.0
2023-02,18.0
2023-03,18.0
2023-04,18.0
2023-05,16.0
2023-06,20.0
2023-07,22.0
2023-08,20.0
2023-09,20.0
2023-10,23.0
2023-11,22.0
2023-12,23.0
2024-01,24.0
2024-02,26.0
2024-03,22.0
2024-04,21.0
2024-05,23.0
2024-06,26.0
2024-07,25.0
2024-08,26.0
2024-09,21.0
2024-10,14.0
2024-11,21.0
2024-12,17.0
2025-01,19.0
2025-02,17.0
2025-03,21.0
2025-04,35.0
2025-05,27.0
2025-06,23.0
2025-07,35.0
2025-08,27.0
2025-09,25.0
2025-10,22.0
2025-11,22.0
2025-12,26.0
2026-01,24.0
2026-02,25.0
2026-03,91.0
2026-04,26.0
2026-05,27.0
2026-06,33.0
2026-07,30.0
