Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,14.0
2007-03,0.0
2007-04,0.0
2007-05,13.0
2007-06,0.0
2007-07,12.0
2007-08,8.0
2007-09,12.0
2007-10,14.0
2007-11,11.0
2007-12,11.0
2008-01,18.0
2008-02,22.0
2008-03,18.0
2008-04,17.0
2008-05,18.0
2008-06,19.0
2008-07,13.0
2008-08,15.0
2008-09,17.0
2008-10,15.0
2008-11,15.0
2008-12,13.0
2009-01,21.0
2009-02,21.0
2009-03,22.0
2009-04,16.0
2009-05,25.0
2009-06,26.0
2009-07,24.0
2009-08,21.0
2009-09,24.0
2009-10,29.0
2009-11,32.0
2009-12,31.0
2010-01,29.0
2010-02,27.0
2010-03,35.0
2010-04,39.0
2010-05,45.0
2010-06,39.0
2010-07,31.0
2010-08,31.0
2010-09,38.0
2010-10,35.0
2010-11,31.0
2010-12,31.0
2011-01,26.0
2011-02,31.0
2011-03,31.0
2011-04,30.0
2011-05,48.0
2011-06,36.0
2011-07,31.0
2011-08,31.0
2011-09,37.0
2011-10,26.0
2011-11,30.0
2011-12,25.0
2012-01,28.0
2012-02,33.0
2012-03,35.0
2012-04,39.0
2012-05,40.0
2012-06,39.0
2012-07,40.0
2012-08,37.0
2012-09,37.0
2012-10,37.0
2012-11,39.0
2012-12,32.0
2013-01,37.0
2013-02,36.0
2013-03,41.0
2013-04,42.0
2013-05,51.0
2013-06,44.0
2013-07,43.0
2013-08,50.0
2013-09,43.0
2013-10,47.0
2013-11,45.0
2013-12,36.0
2014-01,47.0
2014-02,50.0
2014-03,47.0
2014-04,53.0
2014-05,60.0
2014-06,58.0
2014-07,52.0
2014-08,52.0
2014-09,51.0
2014-10,47.0
2014-11,51.0
2014-12,45.0
2015-01,55.0
2015-02,54.0
2015-03,58.0
2015-04,58.0
2015-05,62.0
2015-06,61.0
2015-07,61.0
2015-08,61.0
2015-09,57.0
2015-10,68.0
2015-11,60.0
2015-12,52.0
2016-01,46.0
2016-02,50.0
2016-03,60.0
2016-04,57.0
2016-05,58.0
2016-06,57.0
2016-07,54.0
2016-08,54.0
2016-09,54.0
2016-10,46.0
2016-11,52.0
2016-12,46.0
2017-01,61.0
2017-02,68.0
2017-03,70.0
2017-04,65.0
2017-05,65.0
2017-06,70.0
2017-07,62.0
2017-08,63.0
2017-09,65.0
2017-10,62.0
2017-11,64.0
2017-12,53.0
2018-01,65.0
2018-02,67.0
2018-03,66.0
2018-04,71.0
2018-05,76.0
2018-06,77.0
2018-07,71.0
2018-08,79.0
2018-09,75.0
2018-10,76.0
2018-11,69.0
2018-12,68.0
2019-01,75.0
2019-02,74.0
2019-03,73.0
2019-04,75.0
2019-05,79.0
2019-06,72.0
2019-07,70.0
2019-08,67.0
2019-09,63.0
2019-10,64.0
2019-11,73.0
2019-12,61.0
2020-01,71.0
2020-02,73.0
2020-03,81.0
2020-04,85.0
2020-05,100.0
2020-06,81.0
2020-07,72.0
2020-08,75.0
2020-09,71.0
2020-10,66.0
2020-11,69.0
2020-12,59.0
2021-01,77.0
2021-02,68.0
2021-03,70.0
2021-04,70.0
2021-05,82.0
2021-06,71.0
2021-07,61.0
2021-08,60.0
2021-09,66.0
2021-10,68.0
2021-11,54.0
2021-12,52.0
2022-01,76.0
2022-02,68.0
2022-03,66.0
2022-04,72.0
2022-05,69.0
2022-06,72.0
2022-07,67.0
2022-08,64.0
2022-09,63.0
2022-10,60.0
2022-11,65.0
2022-12,58.0
2023-01,69.0
2023-02,73.0
2023-03,66.0
2023-04,67.0
2023-05,74.0
2023-06,82.0
2023-07,66.0
2023-08,67.0
2023-09,59.0
2023-10,64.0
2023-11,66.0
2023-12,49.0
2024-01,64.0
2024-02,62.0
2024-03,62.0
2024-04,64.0
2024-05,69.0
2024-06,68.0
2024-07,63.0
2024-08,64.0
2024-09,56.0
2024-10,56.0
2024-11,61.0
2024-12,49.0
2025-01,64.0
2025-02,62.0
2025-03,59.0
2025-04,57.0
2025-05,57.0
2025-06,58.0
2025-07,55.0
2025-08,56.0
2025-09,58.0
2025-10,58.0
2025-11,54.0
2025-12,48.0
2026-01,62.0
2026-02,60.0
2026-03,62.0
2026-04,72.0
2026-05,74.0
2026-06,72.0
2026-07,65.0
