Month,Value
2014-01,0.0
2014-02,0.0
2014-03,0.0
2014-04,0.0
2014-05,0.0
2014-06,0.0
2014-07,0.0
2014-08,0.0
2014-09,0.0
2014-10,0.0
2014-11,0.0
2014-12,0.0
2015-01,44.0
2015-02,0.0
2015-03,0.0
2015-04,0.0
2015-05,0.0
2015-06,0.0
2015-07,0.0
2015-08,26.0
2015-09,30.0
2015-10,0.0
2015-11,34.0
2015-12,22.0
2016-01,0.0
2016-02,33.0
2016-03,36.0
2016-04,27.0
2016-05,31.0
2016-06,42.0
2016-07,27.0
2016-08,36.0
2016-09,73.0
2016-10,45.0
2016-11,70.0
2016-12,0.0
2017-01,44.0
2017-02,0.0
2017-03,32.0
2017-04,45.0
2017-05,39.0
2017-06,0.0
2017-07,51.0
2017-08,55.0
2017-09,66.0
2017-10,31.0
2017-11,50.0
2017-12,35.0
2018-01,32.0
2018-02,56.0
2018-03,0.0
2018-04,25.0
2018-05,34.0
2018-06,33.0
2018-07,24.0
2018-08,42.0
2018-09,51.0
2018-10,37.0
2018-11,52.0
2018-12,41.0
2019-01,28.0
2019-02,31.0
2019-03,42.0
2019-04,56.0
2019-05,33.0
2019-06,37.0
2019-07,57.0
2019-08,63.0
2019-09,58.0
2019-10,50.0
2019-11,53.0
2019-12,72.0
2020-01,49.0
2020-02,63.0
2020-03,67.0
2020-04,82.0
2020-05,81.0
2020-06,66.0
2020-07,91.0
2020-08,100.0
2020-09,66.0
2020-10,84.0
2020-11,52.0
2020-12,82.0
2021-01,90.0
2021-02,66.0
2021-03,90.0
2021-04,98.0
2021-05,71.0
2021-06,90.0
2021-07,94.0
2021-08,100.0
2021-09,79.0
2021-10,62.0
2021-11,73.0
2021-12,54.0
2022-01,53.0
2022-02,81.0
2022-03,61.0
2022-04,80.0
2022-05,90.0
2022-06,96.0
2022-07,80.0
2022-08,81.0
2022-09,89.0
2022-10,55.0
2022-11,72.0
2022-12,65.0
2023-01,62.0
2023-02,73.0
2023-03,67.0
2023-04,73.0
2023-05,58.0
2023-06,63.0
2023-07,70.0
2023-08,61.0
2023-09,57.0
2023-10,69.0
2023-11,42.0
2023-12,44.0
2024-01,53.0
2024-02,49.0
2024-03,46.0
2024-04,39.0
2024-05,58.0
2024-06,47.0
2024-07,32.0
2024-08,45.0
2024-09,50.0
2024-10,32.0
2024-11,44.0
2024-12,32.0
2025-01,43.0
2025-02,0.0
2025-03,52.0
2025-04,32.0
2025-05,26.0
2025-06,25.0
2025-07,34.0
2025-08,24.0
2025-09,38.0
2025-10,30.0
2025-11,39.0
2025-12,0.0
2026-01,20.0
2026-02,26.0
2026-03,43.0
2026-04,0.0
2026-05,38.0
2026-06,29.0
2026-07,34.0
