Month,Value
2014-01,0.0
2014-02,0.0
2014-03,0.0
2014-04,0.0
2014-05,0.0
2014-06,0.0
2014-07,0.0
2014-08,0.0
2014-09,0.0
2014-10,0.0
2014-11,0.0
2014-12,0.0
2015-01,0.0
2015-02,0.0
2015-03,0.0
2015-04,0.0
2015-05,0.0
2015-06,0.0
2015-07,40.0
2015-08,35.0
2015-09,0.0
2015-10,0.0
2015-11,40.0
2015-12,59.0
2016-01,23.0
2016-02,30.0
2016-03,0.0
2016-04,0.0
2016-05,0.0
2016-06,24.0
2016-07,0.0
2016-08,36.0
2016-09,35.0
2016-10,50.0
2016-11,28.0
2016-12,29.0
2017-01,0.0
2017-02,47.0
2017-03,41.0
2017-04,31.0
2017-05,45.0
2017-06,55.0
2017-07,72.0
2017-08,60.0
2017-09,51.0
2017-10,57.0
2017-11,67.0
2017-12,69.0
2018-01,78.0
2018-02,71.0
2018-03,64.0
2018-04,70.0
2018-05,57.0
2018-06,66.0
2018-07,71.0
2018-08,68.0
2018-09,60.0
2018-10,66.0
2018-11,81.0
2018-12,77.0
2019-01,75.0
2019-02,44.0
2019-03,68.0
2019-04,86.0
2019-05,65.0
2019-06,62.0
2019-07,79.0
2019-08,70.0
2019-09,74.0
2019-10,57.0
2019-11,70.0
2019-12,63.0
2020-01,67.0
2020-02,69.0
2020-03,63.0
2020-04,95.0
2020-05,81.0
2020-06,91.0
2020-07,72.0
2020-08,95.0
2020-09,88.0
2020-10,73.0
2020-11,96.0
2020-12,100.0
2021-01,76.0
2021-02,85.0
2021-03,91.0
2021-04,92.0
2021-05,77.0
2021-06,89.0
2021-07,80.0
2021-08,79.0
2021-09,65.0
2021-10,90.0
2021-11,78.0
2021-12,64.0
2022-01,72.0
2022-02,75.0
2022-03,74.0
2022-04,92.0
2022-05,91.0
2022-06,86.0
2022-07,68.0
2022-08,71.0
2022-09,70.0
2022-10,77.0
2022-11,55.0
2022-12,76.0
2023-01,67.0
2023-02,60.0
2023-03,72.0
2023-04,67.0
2023-05,64.0
2023-06,64.0
2023-07,79.0
2023-08,55.0
2023-09,74.0
2023-10,61.0
2023-11,59.0
2023-12,69.0
2024-01,60.0
2024-02,51.0
2024-03,42.0
2024-04,50.0
2024-05,53.0
2024-06,51.0
2024-07,45.0
2024-08,43.0
2024-09,49.0
2024-10,40.0
2024-11,57.0
2024-12,33.0
2025-01,45.0
2025-02,54.0
2025-03,32.0
2025-04,53.0
2025-05,50.0
2025-06,46.0
2025-07,42.0
2025-08,33.0
2025-09,28.0
2025-10,46.0
2025-11,49.0
2025-12,38.0
2026-01,35.0
2026-02,60.0
2026-03,56.0
2026-04,59.0
2026-05,65.0
2026-06,45.0
2026-07,46.0
