Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,27.0
2004-08,26.0
2004-09,15.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,26.0
2005-02,25.0
2005-03,0.0
2005-04,0.0
2005-05,16.0
2005-06,13.0
2005-07,10.0
2005-08,18.0
2005-09,18.0
2005-10,12.0
2005-11,20.0
2005-12,23.0
2006-01,18.0
2006-02,21.0
2006-03,15.0
2006-04,11.0
2006-05,16.0
2006-06,17.0
2006-07,17.0
2006-08,19.0
2006-09,16.0
2006-10,19.0
2006-11,18.0
2006-12,22.0
2007-01,25.0
2007-02,19.0
2007-03,16.0
2007-04,19.0
2007-05,15.0
2007-06,17.0
2007-07,21.0
2007-08,23.0
2007-09,24.0
2007-10,20.0
2007-11,23.0
2007-12,22.0
2008-01,26.0
2008-02,26.0
2008-03,25.0
2008-04,25.0
2008-05,29.0
2008-06,35.0
2008-07,35.0
2008-08,32.0
2008-09,34.0
2008-10,34.0
2008-11,35.0
2008-12,36.0
2009-01,34.0
2009-02,41.0
2009-03,43.0
2009-04,40.0
2009-05,43.0
2009-06,48.0
2009-07,48.0
2009-08,48.0
2009-09,39.0
2009-10,32.0
2009-11,30.0
2009-12,25.0
2010-01,25.0
2010-02,24.0
2010-03,22.0
2010-04,21.0
2010-05,20.0
2010-06,29.0
2010-07,26.0
2010-08,29.0
2010-09,28.0
2010-10,27.0
2010-11,28.0
2010-12,22.0
2011-01,24.0
2011-02,24.0
2011-03,21.0
2011-04,21.0
2011-05,22.0
2011-06,23.0
2011-07,23.0
2011-08,27.0
2011-09,33.0
2011-10,27.0
2011-11,27.0
2011-12,25.0
2012-01,26.0
2012-02,27.0
2012-03,25.0
2012-04,23.0
2012-05,25.0
2012-06,26.0
2012-07,28.0
2012-08,32.0
2012-09,33.0
2012-10,41.0
2012-11,36.0
2012-12,31.0
2013-01,29.0
2013-02,29.0
2013-03,32.0
2013-04,28.0
2013-05,32.0
2013-06,60.0
2013-07,62.0
2013-08,48.0
2013-09,43.0
2013-10,44.0
2013-11,57.0
2013-12,51.0
2014-01,81.0
2014-02,100.0
2014-03,54.0
2014-04,42.0
2014-05,50.0
2014-06,44.0
2014-07,41.0
2014-08,38.0
2014-09,42.0
2014-10,39.0
2014-11,39.0
2014-12,35.0
2015-01,39.0
2015-02,37.0
2015-03,34.0
2015-04,36.0
2015-05,38.0
2015-06,39.0
2015-07,38.0
2015-08,37.0
2015-09,38.0
2015-10,38.0
2015-11,43.0
2015-12,35.0
2016-01,30.0
2016-02,34.0
2016-03,32.0
2016-04,33.0
2016-05,37.0
2016-06,36.0
2016-07,35.0
2016-08,35.0
2016-09,37.0
2016-10,37.0
2016-11,43.0
2016-12,35.0
2017-01,35.0
2017-02,37.0
2017-03,36.0
2017-04,38.0
2017-05,42.0
2017-06,40.0
2017-07,43.0
2017-08,54.0
2017-09,44.0
2017-10,42.0
2017-11,38.0
2017-12,37.0
2018-01,37.0
2018-02,37.0
2018-03,37.0
2018-04,39.0
2018-05,41.0
2018-06,43.0
2018-07,38.0
2018-08,43.0
2018-09,42.0
2018-10,42.0
2018-11,39.0
2018-12,39.0
2019-01,41.0
2019-02,38.0
2019-03,39.0
2019-04,41.0
2019-05,44.0
2019-06,39.0
2019-07,40.0
2019-08,42.0
2019-09,36.0
2019-10,36.0
2019-11,34.0
2019-12,36.0
2020-01,36.0
2020-02,37.0
2020-03,34.0
2020-04,38.0
2020-05,30.0
2020-06,32.0
2020-07,37.0
2020-08,37.0
2020-09,34.0
2020-10,33.0
2020-11,35.0
2020-12,33.0
2021-01,32.0
2021-02,29.0
2021-03,30.0
2021-04,33.0
2021-05,32.0
2021-06,34.0
2021-07,31.0
2021-08,27.0
2021-09,26.0
2021-10,26.0
2021-11,30.0
2021-12,34.0
2022-01,35.0
2022-02,34.0
2022-03,35.0
2022-04,33.0
2022-05,37.0
2022-06,36.0
2022-07,36.0
2022-08,34.0
2022-09,33.0
2022-10,33.0
2022-11,32.0
2022-12,31.0
2023-01,34.0
2023-02,31.0
2023-03,34.0
2023-04,34.0
2023-05,36.0
2023-06,38.0
2023-07,38.0
2023-08,38.0
2023-09,37.0
2023-10,36.0
2023-11,34.0
2023-12,36.0
2024-01,36.0
2024-02,39.0
2024-03,40.0
2024-04,51.0
2024-05,45.0
2024-06,39.0
2024-07,37.0
2024-08,36.0
2024-09,34.0
2024-10,34.0
2024-11,35.0
2024-12,35.0
2025-01,33.0
2025-02,36.0
2025-03,35.0
2025-04,41.0
2025-05,44.0
2025-06,40.0
2025-07,39.0
2025-08,43.0
2025-09,40.0
2025-10,46.0
2025-11,40.0
2025-12,40.0
2026-01,45.0
2026-02,39.0
2026-03,46.0
2026-04,46.0
2026-05,45.0
2026-06,47.0
2026-07,47.0
