Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,35.0
2007-05,0.0
2007-06,0.0
2007-07,0.0
2007-08,0.0
2007-09,0.0
2007-10,26.0
2007-11,0.0
2007-12,21.0
2008-01,28.0
2008-02,19.0
2008-03,25.0
2008-04,27.0
2008-05,31.0
2008-06,0.0
2008-07,22.0
2008-08,18.0
2008-09,21.0
2008-10,27.0
2008-11,0.0
2008-12,25.0
2009-01,29.0
2009-02,29.0
2009-03,26.0
2009-04,30.0
2009-05,38.0
2009-06,31.0
2009-07,30.0
2009-08,29.0
2009-09,38.0
2009-10,24.0
2009-11,36.0
2009-12,34.0
2010-01,19.0
2010-02,39.0
2010-03,39.0
2010-04,43.0
2010-05,44.0
2010-06,46.0
2010-07,50.0
2010-08,47.0
2010-09,43.0
2010-10,29.0
2010-11,38.0
2010-12,39.0
2011-01,38.0
2011-02,40.0
2011-03,42.0
2011-04,45.0
2011-05,34.0
2011-06,31.0
2011-07,39.0
2011-08,39.0
2011-09,39.0
2011-10,34.0
2011-11,40.0
2011-12,38.0
2012-01,47.0
2012-02,45.0
2012-03,39.0
2012-04,51.0
2012-05,44.0
2012-06,57.0
2012-07,47.0
2012-08,61.0
2012-09,46.0
2012-10,46.0
2012-11,45.0
2012-12,51.0
2013-01,39.0
2013-02,51.0
2013-03,52.0
2013-04,50.0
2013-05,46.0
2013-06,45.0
2013-07,42.0
2013-08,42.0
2013-09,43.0
2013-10,45.0
2013-11,48.0
2013-12,44.0
2014-01,48.0
2014-02,54.0
2014-03,54.0
2014-04,51.0
2014-05,49.0
2014-06,58.0
2014-07,53.0
2014-08,46.0
2014-09,43.0
2014-10,43.0
2014-11,42.0
2014-12,49.0
2015-01,51.0
2015-02,51.0
2015-03,60.0
2015-04,54.0
2015-05,50.0
2015-06,46.0
2015-07,71.0
2015-08,55.0
2015-09,50.0
2015-10,48.0
2015-11,47.0
2015-12,60.0
2016-01,52.0
2016-02,56.0
2016-03,51.0
2016-04,47.0
2016-05,44.0
2016-06,49.0
2016-07,41.0
2016-08,39.0
2016-09,39.0
2016-10,42.0
2016-11,39.0
2016-12,39.0
2017-01,58.0
2017-02,61.0
2017-03,58.0
2017-04,52.0
2017-05,46.0
2017-06,45.0
2017-07,43.0
2017-08,47.0
2017-09,49.0
2017-10,46.0
2017-11,52.0
2017-12,49.0
2018-01,59.0
2018-02,61.0
2018-03,53.0
2018-04,50.0
2018-05,55.0
2018-06,51.0
2018-07,46.0
2018-08,49.0
2018-09,50.0
2018-10,48.0
2018-11,46.0
2018-12,50.0
2019-01,55.0
2019-02,64.0
2019-03,62.0
2019-04,51.0
2019-05,51.0
2019-06,51.0
2019-07,44.0
2019-08,49.0
2019-09,47.0
2019-10,46.0
2019-11,52.0
2019-12,56.0
2020-01,60.0
2020-02,66.0
2020-03,66.0
2020-04,61.0
2020-05,53.0
2020-06,49.0
2020-07,59.0
2020-08,59.0
2020-09,49.0
2020-10,53.0
2020-11,51.0
2020-12,50.0
2021-01,63.0
2021-02,59.0
2021-03,55.0
2021-04,51.0
2021-05,54.0
2021-06,46.0
2021-07,46.0
2021-08,51.0
2021-09,53.0
2021-10,55.0
2021-11,49.0
2021-12,52.0
2022-01,74.0
2022-02,89.0
2022-03,79.0
2022-04,56.0
2022-05,53.0
2022-06,55.0
2022-07,48.0
2022-08,49.0
2022-09,58.0
2022-10,49.0
2022-11,55.0
2022-12,57.0
2023-01,64.0
2023-02,72.0
2023-03,59.0
2023-04,52.0
2023-05,50.0
2023-06,55.0
2023-07,53.0
2023-08,50.0
2023-09,53.0
2023-10,49.0
2023-11,51.0
2023-12,54.0
2024-01,60.0
2024-02,66.0
2024-03,60.0
2024-04,63.0
2024-05,54.0
2024-06,54.0
2024-07,61.0
2024-08,52.0
2024-09,63.0
2024-10,58.0
2024-11,56.0
2024-12,52.0
2025-01,59.0
2025-02,66.0
2025-03,51.0
2025-04,56.0
2025-05,52.0
2025-06,54.0
2025-07,63.0
2025-08,59.0
2025-09,73.0
2025-10,82.0
2025-11,71.0
2025-12,72.0
2026-01,92.0
2026-02,80.0
2026-03,84.0
2026-04,87.0
2026-05,95.0
2026-06,87.0
2026-07,100.0
