Case_ID,Scope,Tier,Case_Type,Members,Status,Method,Reason,Signal_Contributors_N,Required_Contributors_N,Post_SA_Status,Post_SA_Pre_Max
FP001,TH,T1,keyword,FP001,OK,X13,,1,1,OK,92.4354306404
FP002,TH,T1,keyword,FP002,OK,X13,,1,1,OK,95.3166736754
FP003,TH,T1,keyword,FP003,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP004,TH,T1,keyword,FP004,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP005,TH,T1,keyword,FP005,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP006,TH,T1,keyword,FP006,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP007,TH,T1,keyword,FP007,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP008,TH,T1,keyword,FP008,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP009,TH,T1,keyword,FP009,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP010,TH,T1,keyword,FP010,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP011,TH,T1,keyword,FP011,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP012,TH,T1,keyword,FP012,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP013,TH,T1,keyword,FP013,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP014,TH,T1,keyword,FP014,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU001,TH,T1,keyword,FU001,OK,X13,,1,1,OK,87.5918405900
FU002,TH,T1,keyword,FU002,OK,X13,,1,1,OK,97.4509327478
FU003,TH,T1,keyword,FU003,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU004,TH,T1,keyword,FU004,OK,X13,,1,1,OK,96.7723038592
FU005,TH,T1,keyword,FU005,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU006,TH,T1,keyword,FU006,OK,X13,,1,1,OK,101.7277215385
FU007,TH,T1,keyword,FU007,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU008,TH,T1,keyword,FU008,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU009,TH,T1,keyword,FU009,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU010,TH,T1,keyword,FU010,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU011,TH,T1,keyword,FU011,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU012,TH,T1,keyword,FU012,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU013,TH,T1,keyword,FU013,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU014,TH,T1,keyword,FU014,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP015,TH,T1,keyword,FP015,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU015,TH,T1,keyword,FU015,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
TP001,TH,T1,keyword,TP001,OK,X13,,1,1,OK,98.6649142570
TP002,TH,T1,keyword,TP002,OK,X13,,1,1,OK,93.8851313090
TP003,TH,T1,keyword,TP003,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
TP004,TH,T1,keyword,TP004,OK,X13,,1,1,OK,100.7868255114
TU001,TH,T1,keyword,TU001,OK,X13,,1,1,OK,97.7301204029
TU002,TH,T1,keyword,TU002,OK,X13,,1,1,OK,113.4408921056
TU003,TH,T1,keyword,TU003,OK,X13,,1,1,OK,96.6718273118
