Case_ID,Scope,Execution_Status,Diagnostic_Status,Quality_Status,Geo_Support_N,Geo_Support_Total,Coverage_Status,MA3_Endpoint_Provisional
FP001,TH,SUCCESS,CONDITIONALLY REJECTED,REVIEW,1,1,FULL,TRUE
FP002,TH,SUCCESS,CONDITIONALLY ACCEPTED,REVIEW,1,1,FULL,TRUE
FP003,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FP004,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FP005,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FP006,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FP007,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FP008,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FP009,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FP010,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FP011,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FP012,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FP013,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FP014,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FU001,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU002,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU003,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FU004,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
