Case_ID,Scope,Tier,Stage,Member_ID,Geo,Status,Pre_Max,Contributors_N,Required_N
FP001,TH,T1,A_MEMBER_GEO,FP001,TH,OK,87.0000000000,1,1
FP001,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP001,TH,T1,D_POST_SA,,TH,OK,92.4354306404,1,1
FP002,TH,T1,A_MEMBER_GEO,FP002,TH,OK,100.0000000000,1,1
FP002,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP002,TH,T1,D_POST_SA,,TH,OK,95.3166736754,1,1
FP003,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FP003,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FP004,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FP004,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FP005,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FP005,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FP006,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FP006,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FP007,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FP007,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FP008,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FP008,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FP009,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FP009,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FP010,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FP010,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FP011,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FP011,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FP012,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FP012,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FP013,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FP013,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FP014,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FP014,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FU001,TH,T1,A_MEMBER_GEO,FU001,TH,OK,100.0000000000,1,1
FU001,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU001,TH,T1,D_POST_SA,,TH,OK,87.5918405900,1,1
FU002,TH,T1,A_MEMBER_GEO,FU002,TH,OK,82.0000000000,1,1
FU002,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU002,TH,T1,D_POST_SA,,TH,OK,97.4509327478,1,1
FU003,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FU003,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FU004,TH,T1,A_MEMBER_GEO,FU004,TH,OK,100.0000000000,1,1
FU004,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU004,TH,T1,D_POST_SA,,TH,OK,96.7723038592,1,1
FU005,TH,T1,A_MEMBER_GEO,FU005,TH,OK,100.0000000000,1,1
FU005,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU005,TH,T1,D_POST_SA,,TH,OK,81.8109090803,1,1
FU006,TH,T1,A_MEMBER_GEO,FU006,TH,OK,76.0000000000,1,1
FU006,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU006,TH,T1,D_POST_SA,,TH,OK,101.7277215385,1,1
FU007,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FU007,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FU008,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FU008,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FU009,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FU009,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FU010,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FU010,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FU011,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FU011,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FU012,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FU012,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FU013,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FU013,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FU014,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FU014,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
