Month,Scope,Case_ID,Tier,Case_Type,Segment,Factor,Case_Name_TH,Input_Rebased,SA,SA_Floored,SA_Rebased,MA3_Centered
2011-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,20.6896551724,23.6116418519,23.6116418519,25.5439301665,23.9986719577
2011-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,13.7931034483,20.7549096923,20.7549096923,22.4534137489,21.9999665577
2011-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,21.8390804598,16.6407399409,16.6407399409,18.0025557577,18.2805132575
2011-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,18.3908045977,13.2973638252,13.2973638252,14.3855702658,17.7807300329
2011-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,25.2873563218,19.3689793646,19.3689793646,20.9540640752,23.4623437203
2011-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,27.5862068966,32.3962121788,32.3962121788,35.0473968200,25.0347232390
2011-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,19.5402298851,17.6576711634,17.6576711634,19.1027088218,23.7130367538
2011-08,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,21.8390804598,15.7038595818,15.7038595818,16.9890046197,19.6104922507
2011-09,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,19.5402298851,21.0195981429,21.0195981429,22.7397633107,28.3498534507
2011-10,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,36.7816091954,41.8924696445,41.8924696445,45.3207924215,31.9521079831
2011-11,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,26.4367816092,25.6931380513,25.6931380513,27.7957682171,33.8876377273
2011-12,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,22.9885057471,26.3869439054,26.3869439054,28.5463525432,29.0443756579
2012-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,25.2873563218,28.4617991918,28.4617991918,30.7910062133,29.3629105340
2012-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,19.5402298851,26.5764553046,26.5764553046,28.7513728454,28.8511382098
2012-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,29.8850574713,24.9677670504,24.9677670504,27.0110355709,28.4204124443
2012-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,32.1839080460,27.2673695431,27.2673695431,29.4988289168,28.5263581341
2012-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,33.3333333333,26.8702493685,26.8702493685,29.0692099148,30.3027805790
2012-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,25.2873563218,29.8938982610,29.8938982610,32.3403029054,32.9759037789
2012-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,35.6321839080,34.6801083673,34.6801083673,37.5181985166,34.9784143355
2012-08,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,39.0804597701,32.4233371383,32.4233371383,35.0767415846,37.0047273774
2012-09,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,34.4827586207,35.5129918203,35.5129918203,38.4192420312,35.1449592001
2012-10,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,25.2873563218,29.5228541963,29.5228541963,31.9388939845,34.4713278021
2012-11,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,31.0344827586,30.5553148875,30.5553148875,33.0558473907,36.3804598681
2012-12,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,36.7816091954,40.8071351603,40.8071351603,44.1466382291,39.5811127728
2013-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,34.4827586207,38.3984660836,38.3984660836,41.5408526985,43.5496702056
2013-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,34.4827586207,41.5603743471,41.5603743471,44.9615196892,48.6028005601
2013-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,59.7701149425,54.8197835723,54.8197835723,59.3060292925,51.8743058113
2013-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,51.7241379310,47.4705559858,47.4705559858,51.3553684523,50.9213453218
2013-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,45.9770114943,38.9177549501,38.9177549501,42.1026382205,45.6106770936
2013-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,36.7816091954,40.0929664324,40.0929664324,43.3740246079,48.0164093626
2013-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,54.0229885057,54.1418029345,54.1418029345,58.5725652593,50.8757648045
