Case_ID,Scope,Method,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,Q_Without_M2,Q_With_M2,F_Stable_B1,F_Stable_B1_PValue,F_Stable_D8,F_Stable_D8_PValue,F_Moving_D8,F_Moving_D8_PValue,Kruskal_Wallis_Chi,Kruskal_Wallis_PValue,Accept_Status
FP001,TH,X13,2.5720000000,0.4930000000,0.6810000000,1.1050000000,0.7560000000,0.5240000000,0.8170000000,1.4020000000,0.5790000000,1.3660000000,1.2900000000,1.0600000000,,5.6230000000,0.0000000000,8.1550000000,0.0000000000,1.2980000000,0.2145000000,63.3990000000,0.0000000000,CONDITIONALLY REJECTED
FP002,TH,X13,0.8470000000,0.0530000000,0.1050000000,0.5640000000,0.3800000000,0.1430000000,1.9620000000,1.6900000000,0.4090000000,1.6250000000,0.8710000000,0.8900000000,,3.7750000000,0.0001000000,5.9930000000,0.0000000000,13.0480000000,0.0000000000,76.4500000000,0.0000000000,CONDITIONALLY ACCEPTED
FP003,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP004,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP005,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP006,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP007,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP008,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP009,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP010,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP011,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP012,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP013,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP014,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU001,TH,X13,3.0000000000,2.9410000000,1.6510000000,0.2250000000,3.0000000000,0.7560000000,1.3360000000,1.6400000000,0.8760000000,1.2700000000,1.1900000000,1.5800000000,,3.3020000000,0.0004000000,4.3120000000,0.0000000000,2.7970000000,0.0010000000,44.1890000000,0.0000000000,REJECTED
FU002,TH,X13,2.4300000000,1.1150000000,1.0910000000,0.6540000000,1.5700000000,0.7600000000,1.1100000000,1.4140000000,0.4650000000,1.5260000000,1.2870000000,1.2300000000,,3.1130000000,0.0008000000,4.3490000000,0.0000000000,1.2390000000,0.2527000000,74.2330000000,0.0000000000,REJECTED
FU003,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU004,TH,X13,1.4690000000,0.6070000000,0.2090000000,1.0370000000,3.0000000000,0.1980000000,2.2950000000,2.0460000000,1.6220000000,3.0000000000,2.5760000000,1.6800000000,,1.2740000000,0.2438000000,1.8340000000,0.0514000000,4.1090000000,0.0000000000,26.3600000000,0.0057000000,REJECTED
FU005,TH,X13,2.8160000000,1.2190000000,0.8960000000,0.2930000000,1.3200000000,0.1460000000,2.1540000000,2.2610000000,0.9330000000,3.0000000000,2.8150000000,1.5700000000,,1.7520000000,0.0665000000,2.4330000000,0.0076000000,5.1880000000,0.0000000000,13.4310000000,0.2661000000,REJECTED
FU006,TH,X13,3.0000000000,2.6490000000,1.8280000000,0.3610000000,3.0000000000,0.8840000000,1.7830000000,1.4050000000,1.0290000000,1.2350000000,1.1380000000,1.8100000000,,1.6830000000,0.0814000000,1.5160000000,0.1291000000,0.8810000000,0.5805000000,17.0050000000,0.1077000000,REJECTED
FU007,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU008,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU009,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU010,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU011,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU012,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU013,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU014,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP015,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU015,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
TP001,TH,X13,2.5730000000,0.7460000000,0.8820000000,0.0230000000,1.1970000000,0.2200000000,2.1010000000,1.7830000000,1.0760000000,3.0000000000,3.0000000000,1.4800000000,,2.2210000000,0.0156000000,2.3490000000,0.0100000000,4.5830000000,0.0000000000,27.2450000000,0.0042000000,REJECTED
TP002,TH,X13,3.0000000000,3.0000000000,1.9910000000,0.2250000000,3.0000000000,0.6670000000,1.3230000000,1.2360000000,0.6300000000,1.3310000000,1.2980000000,1.6700000000,,2.6680000000,0.0036000000,3.4730000000,0.0002000000,1.7200000000,0.0568000000,31.4410000000,0.0009000000,REJECTED
