Keyword_ID,Keyword_TH,Tier,Segment,Factor,Case_ID,Case_Type,Family_ID,Family_Name_TH,Current_Status
FP001,สินเชื่อส่วนบุคคล,T1,Formal,Pull,FP001,keyword,,,active_current_official
FP002,บัตรกดเงินสด,T1,Formal,Pull,FP002,keyword,,,active_current_official
FP003,กู้เงินธนาคาร,T1,Formal,Pull,FP003,keyword,,,active_current_official
FU001,พักหนี้,T1,Formal,Push,FU001,keyword,,,active_current_official
FU002,ประนอมหนี้,T1,Formal,Push,FU002,keyword,,,active_current_official
FU003,หนี้เสีย,T1,Formal,Push,FU003,keyword,,,active_current_official
TP001,จำนำทอง,T1,Informal-Traditional,Pull,TP001,keyword,,,active_current_official
TP002,ขายฝากที่ดิน,T1,Informal-Traditional,Pull,TP002,keyword,,,active_current_official
TP003,เงินกู้นอกระบบ,T1,Informal-Traditional,Pull,TP003,keyword,,,active_current_official
TU001,หนี้นอกระบบ,T1,Informal-Traditional,Push,TU001,keyword,,,active_current_official
TU002,ดอกเบี้ยโหด,T1,Informal-Traditional,Push,TU002,keyword,,,active_current_official
TU003,ถูกยึดทรัพย์,T1,Informal-Traditional,Push,TU003,keyword,,,active_current_official
NP001,กู้เงินด่วนออนไลน์,T1,Informal-New,Pull,NP001,keyword,,,active_current_official
NP002,สินเชื่อออนไลน์,T1,Informal-New,Pull,NP002,keyword,,,active_current_official
NP003,แอปกู้เงิน,T1,Informal-New,Pull,NP003,keyword,,,active_current_official
NU001,หนี้แอปเงินกู้,T1,Informal-New,Push,NU001,keyword,,,active_current_official
NU002,โดนหลอกกู้เงินออนไลน์,T1,Informal-New,Push,NU002,keyword,,,active_current_official
NU003,ถูกทวงหนี้ทางไลน์,T1,Informal-New,Push,NU003,keyword,,,active_current_official
